name,location,length,gain,highpoint,rating,features,description,trip,length_total,location_general
Manastash Lake,Central Washington -- Yakima,"8.0 miles, roundtrip",2100,5063,3.89,Wildflowers/Meadows|Wildlife|Established campsites|Dogs allowed on leash|Good for kids|Lakes|Fall foliage,"Hike through a diverse forest to two alpine lakes that rest atop Manastash Ridge, one of Central Washington’s most notable geologic formations. The trail to Lost and Manastash Lakes is an underappreciated gem that will delight larch lovers, berry munchers, flower photographers, and campers alike.",roundtrip,8,Central Washington
Milk Creek - Suiattle River Loop,North Cascades -- Mountain Loop Highway,"34.7 miles, roundtrip",2100,3900,0.00,Wildflowers/Meadows|Ridges/passes|Established campsites|Mountain views|Old growth|Summits|Rivers,"The Milk Creek trail used to offer a gorgeous tour of the Glacier Peak wilderness via a 34.7-mile backpacking loop. Hikers followed the Milk Creek trail to the Pacific Crest Trail, then down to the Suiattle River Trail. Along the way it offered stunning close-up views of Glacier Peak, endless wildflower meadows and ample opportunities for solitude. Unfortunately, it now requires a potentially dangerous ford of the Suiattle River due to a missing bridge. Because of its inaccessibility and a lack of maintenance, expect a brushy trail with blowdowns beyond this point.",roundtrip,34.7,North Cascades
Source Lake,Snoqualmie Region -- Snoqualmie Pass,"6.0 miles, roundtrip",700,3800,3.83,Mountain views|Lakes|Rivers,"If you want to see the headwaters of the mighty Snoqualmie River, head for the source. Source Lake, that is. It's a modest pond, but the setting is remarkable. Craggy peaks ring this pool, found along the way to one of the state's most popular alpine lake -- Snow Lake.",roundtrip,6,Snoqualmie Region
Mount Dickerman,North Cascades -- Mountain Loop Highway,"8.2 miles, roundtrip",3950,5760,4.64,Wildflowers/Meadows|Mountain views|Dogs allowed on leash|Established campsites|Old growth|Summits|Fall foliage,"If the best views come to those who earn them, Mount Dickerman offers the fairest vantage along the Mountain Loop. You’ll huff and puff through 4,000 feet of elevation on your way to the summit; in return, you’ll get a superb panorama of nearly every peak in the Mountain Loop. In late summer, it also rewards the intrepid with a bounty of mountain blueberries.",roundtrip,8.2,North Cascades
Notch Pass,Olympic Peninsula -- Hood Canal,"8.6 miles, roundtrip",2700,2500,3.73,Ridges/passes|Dogs allowed on leash|Fall foliage|Rivers,"Believed to be a former Native American trading route through the Olympics, this historic trail was rebuilt by the Civilian Conservation Corps (the CCC) in the 1930s. It was relocated in the early 2000s and is a popular WTA volunteer work party site to this day.",roundtrip,8.6,Olympic Peninsula
Hazel Wolf Wetlands,Issaquah Alps,"1.7 miles, roundtrip",60,525,3.78,Wildflowers/Meadows|Wildlife|Dogs not allowed|Old growth|Good for kids|Lakes|Fall foliage,"Hike a loop around this exceptional wetland. In season, view a variety of waterfowl. And marvel at the close-up views of beaver dams.",roundtrip,1.7,Issaquah Alps
Gem Lake,Snoqualmie Region -- Snoqualmie Pass,"10.0 miles, roundtrip",1800,4857,4.36,Wildflowers/Meadows|Mountain views|Dogs allowed on leash|Good for kids|Lakes|Fall foliage,Gem Lake is nestled at the foot of Wright Mountain and is about two miles beyond the trail junction at Rock Creek trail #1013.1 that intersects with the Snow Lake trail starting at Alpental. Beautiful colors surround the lake in autumn as do the many climbable peaks in the area.,roundtrip,10,Snoqualmie Region
The Enchantments,Central Cascades -- Leavenworth Area,"18.0 miles, one-way",4500,7800,4.69,Ridges/passes|Wildlife|Dogs not allowed|Summits|Lakes|Wildflowers/Meadows|Mountain views|Established campsites|Waterfalls|Fall foliage,"The Enchantment Lakes are an alpine wonderland of pristine lakes set among polished granite, soaring peaks, blazing larches, and ambling mountain goats. Widely regarded as the crown jewel of hiking in Washington, this trail exceeds even the wildest of superlatives.",one-way,36,Central Cascades
Big Finn Hill Park,Puget Sound and Islands -- Seattle-Tacoma Area,"9.5 miles, roundtrip",100,450,2.75,Wildlife|Good for kids|Dogs allowed on leash|Fall foliage,"Big Finn Hill Park is the lesser-known cousin to the adjoining Saint Edwards State Park in Kirkland. Its expansive 220 acres are worth exploring and getting to know for their miles of meandering trails fit for mountain biking and casual strolling. Chock-full of tall Douglas-firs, ferns and bright green mosses, it offers possibilities to spot eagles, deer and owls.",roundtrip,9.5,Puget Sound and Islands
Squires Lake Park,Puget Sound and Islands -- Bellingham Area,"2.0 miles, roundtrip",200,680,3.62,Wildflowers/Meadows|Dogs allowed on leash|Wildlife|Lakes,This short loop trail around a quiet lake is a great place to enjoy an after-work outdoor stroll or take the kids on an easy outdoor excursion.,roundtrip,2,Puget Sound and Islands
Baker Lake - Maple Grove,North Cascades -- Mount Baker Area,"8.0 miles, roundtrip",500,1000,3.75,Dogs allowed on leash|Good for kids|Lakes|Established campsites,"Magnificent old growth forests, stellar views of Mount Baker, turbulent tributaries, and, of course, a beautiful lake make this trail a great path to travel.",roundtrip,8,North Cascades
Green Mountain - Gold Creek Trail,Olympic Peninsula -- Kitsap Peninsula,"5.0 miles, roundtrip",1000,1639,3.68,Mountain views|Dogs allowed on leash|Summits|Established campsites,"Green Mountain is the Kitsap Peninsula's go-to after work destination. Whether you're mountain biking, trail running, or hiking, you can get a quick workout by hiking the Gold Creek Trail up to the summit of Green Mountain.",roundtrip,5,Olympic Peninsula
Grove of the Patriarchs Loop,Mount Rainier Area -- SE - Cayuse Pass/Stevens Canyon,"1.5 miles, roundtrip",50,2200,3.71,Old growth|Good for kids|Rivers,"Some of the biggest, oldest trees in the Washington Cascades stand tall in the Grove of the Patriarchs. These silent old men of moss tower overhead, with a few lying down to show us just how massive the trunks really are. The Grove resides in a low, boggy area across the Ohanapecosh River, so you'll need to cross a sweet little suspension bridge to get there, offering you a chance to enjoy a bit of adventure on this simple little trail. Youngsters typically love the bridge, and kids of all ages marvel at the massive trees.",roundtrip,1.5,Mount Rainier Area
Hoh River Trail to Five Mile Island,Olympic Peninsula -- Pacific Coast,"10.6 miles, roundtrip",300,800,3.58,Mountain views|Wildlife|Established campsites|Old growth|Good for kids|Dogs not allowed|Rivers,"A classic hike in any season, but come in winter and you’ll find that the hordes of tourists, hikers, and climbers who use this trail in the summer have dwindled to just a trickle.",roundtrip,10.6,Olympic Peninsula
Pete Lake,Snoqualmie Region -- Salmon La Sac/Teanaway,"9.0 miles, roundtrip",400,3200,3.40,Wildflowers/Meadows|Mountain views|Wildlife|Established campsites|Dogs allowed on leash|Old growth|Good for kids|Lakes|Rivers,"The Pete Lake trail is a mild-mannered path with something to offer for hikers, campers, children, birders, wildlife enthusiasts, and aquaphiles. This even-tempered route follows the Cooper River 4.5 miles to its headwater, passing through a diverse old-growth forest and terminating at an alpine lake sitting in the shadows of Big Summit Chief and Chimney Rock.",roundtrip,9,Snoqualmie Region
Interlaken Park,Puget Sound and Islands -- Seattle-Tacoma Area,"1.6 miles, roundtrip",200,325,3.00,Wildflowers/Meadows|Mountain views|Dogs allowed on leash|Good for kids|Fall foliage,Hike a series of short trails through this hilly forested park at the northern end of Seattle's Capitol Hill.,roundtrip,1.6,Puget Sound and Islands
Red Top Lookout,Central Cascades -- Blewett Pass,"1.5 miles, roundtrip",350,5360,3.65,Wildflowers/Meadows|Mountain views|Dogs allowed on leash|Old growth|Summits|Good for kids,"Red Top Lookout, built in 1952, restored in 1997, and still operational today, provides a fine bang for your hiking buck. A short, steep trail leads to the functioning fire lookout as well as magnificent 360 degree views of the Stuart Range, Teanaway Ridge, Chelan and Entiat Mountains, Mount Rainier, and even Mount Adams on a clear day.",roundtrip,1.5,Central Cascades
Etienne Creek,Central Cascades -- Blewett Pass,"4.0 miles, roundtrip",1400,6100,2.80,Dogs allowed on leash|Rivers,"This trail follows the drainage to join the Falls Creek Trail. The trailhead is found behind a gated Shaser Road, making it a 4-mile road walk or bike ride to hike this four mile round-trip trail.",roundtrip,4,Central Cascades
Tronsen Meadow,Central Cascades -- Blewett Pass,"3.4 miles, roundtrip",1168,5536,2.83,Wildflowers/Meadows|Mountain views|Ridges/passes,"This multi-use, steep trail passes through forests and meadows, with views of the surrounding Diamond Head, Miller and Navaho Peaks, and the Enchantments, ultimately connecting with the Tronsen Ridge Trail. From here, access is also possible to Table Mountain.",roundtrip,3.4,Central Cascades
Hardscrabble Creek,Central Cascades -- Blewett Pass,"3.7 miles, one-way",2000,5900,3.40,Mountain views|Dogs allowed on leash|Established campsites|Ridges/passes|Fall foliage|Rivers,"Hardscrabble Creek connects the Ingalls Creek drainage with the Wenatchee Mountain crest. Steep and difficult to follow, it has no trailhead, but rather begins at a junction with the Ingalls Creek trail, 8.5 miles from the Ingalls Creek Trailhead.",one-way,7.4,Central Cascades
Cascade Creek,Central Cascades -- Blewett Pass,"2.4 miles, one-way",2400,6000,2.50,Mountain views|Dogs allowed on leash|Rivers|Fall foliage|Ridges/passes,"An overgrown and hard-to-follow trail in the Alpine Lakes Wilderness, Cascade Creek offers intrepid hikers backdoor access to Navaho Peak, and the possibility of loops in and all around the Teanaway area.",one-way,4.8,Central Cascades
Green Mountain,North Cascades -- Mountain Loop Highway,"8.5 miles, roundtrip",3300,6500,4.29,Wildflowers/Meadows|Ridges/passes|Wildlife|Established campsites|Mountain views|Summits|Good for kids|Dogs allowed on leash|Fall foliage,"In a state with so many places offering a day's walk to big, peaky views, Green Mountain still makes the short-list of Washington's all-time finest hikes. From woods to meadows to panoramic views and even a historic lookout, it just doesn't get much better than this.",roundtrip,8.5,North Cascades
Milk Creek,North Cascades -- Mountain Loop Highway,"6.0 miles, roundtrip",2100,3900,3.50,Wildflowers/Meadows|Mountain views|Wildlife|Established campsites|Old growth|Rivers,"This hike requires a potentially dangerous ford of the Suiattle River due to a missing bridge. Because of its inaccessibility and a lack of maintenance, expect a brushy trail with blowdowns beyond this point.",roundtrip,6,North Cascades
Hidden Lake Lookout,North Cascades -- North Cascades Highway - Hwy 20,"8.0 miles, roundtrip",3300,6900,4.59,Wildflowers/Meadows|Ridges/passes|Fall foliage|Mountain views|Summits|Lakes|Waterfalls,"The Hidden Lake trail is one of the crown jewels of hiking in Washington State. No other trail offers so much as Hidden Lake Lookout: forest, wildflowers, a true alpine environment of stark granite well above treeline, breathtaking summit views of the heart of North Cascades National Park, and a fire lookout with a sweeping history almost as big as the mountainous landscape it gazes over.",roundtrip,8,North Cascades
Heather Park,Olympic Peninsula -- Northern Coast,"10.0 miles, roundtrip",3940,5740,3.62,Mountain views|Dogs not allowed|Established campsites,"Climb a steep ridge high on the shoulder of Mount Angeles to a prominent pin-nacle known as First Top. Enjoy a first-rate panorama that reaches from snowy Mount Olympus all the way to salty Pillar Point on the Strait of Juan de Fuca. And gracing this heavenly haven on the mountain of angels are delightful rock gardens and fields of blooming heather. Divine, yes, but it’s a devil of a climb.",roundtrip,10,Olympic Peninsula
Grace Cole Nature Park,Puget Sound and Islands -- Seattle-Tacoma Area,"0.5 miles, roundtrip",120,360,3.00,Wildflowers/Meadows|Wildlife|Good for kids|Dogs allowed on leash|Fall foliage,"Grace Cole Nature Park, located in the community of Lake Forest Park, is a real gem. It occupies only 15 acres, but offers a close-up view of ponds and wetlands at the head of Brookside Creek, plus a half mile of trails that climb up 120 feet to loop over a forested hill. In season enjoy wildflowers, fall colors, and wildlife sightings.",roundtrip,0.5,Puget Sound and Islands
Lost Creek Ridge,North Cascades -- Mountain Loop Highway,"14.0 miles, one-way",5000,5700,4.57,Wildflowers/Meadows|Mountain views|Lakes|Ridges/passes,A rugged trail that offers stunning views and access to several beautiful backcountry lakes.,one-way,28,North Cascades
